1,402,242,242,323,202
2,233,222,173,209,191
4,231,205,206,259,197
8,255,216,186,229,204
16,238,202,206,260,202
32,230,211,166,197,204
64,235,203,207,247,198
128,238,203,165,196,195
256,218,200,216,298,195
512,211,205,168,194,198
1024,229,209,204,247,198
2048,235,200,162,194,193
4096,232,198,214,250,195
8192,231,202,190,213,196
16384,269,200,202,240,195
32768,240,193,160,209,199
65536,222,198,198,293,193
131072,231,207,174,194,191
262144,211,202,201,225,196
524288,234,201,165,194,198
1048576,196,198,207,258,191
2097152,237,200,162,211,196
4194304,222,200,200,242,195
8388608,227,198,158,209,197
16777216,230,196,200,284,193
33554432,214,204,162,196,198
67108864,227,200,198,226,197
134217728,235,198,158,194,196
268435456,231,205,205,268,199
536870912,242,199,160,213,198
1073741824,229,191,195,240,196
2147483648,211,196,158,194,196
